mod,sub,nrom,departamento,categorias,co2abs,co2,ch4,n2o,hfc-23,hfc-32,hfc-125,hfc-134a,hfc-143a,hfc-152a,hfc-227ea,hfc-236fa,hfc-245fa,hfc-365mfc,hfc-43-10mee,pfc-14,pfc-116,sf6,co2abseq,co2eq,ch4eq,n2oeq,hfc-23eq,hfc-32eq,hfc-125eq,hfc-134aeq,hfc-143aeq,hfc-152aeq,hfc-227eaeq,hfc-236faeq,hfc-245faeq,hfc-365mfceq,hfc-43-10meeeq,pfc-14eq,pfc-116eq,sf6eq,abosorciones_totales,emisiones_totales,emisiones_netas,sector_principal
1.0,b,,AMAZONAS,1A1b - Refinación de petróleo,,0,0.0,0.0,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,0,Energía
1.0,c,,AMAZONAS,1A1c - Fabricación de combustibles sólidos y otras industrias energéticas,,0,0.0,0.0,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,0,Energía
1.0,c,i,AMAZONAS,1A1ci - Manufactura de combustibles sólidos,,0,0.0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,Energía
1.0,c,ii,AMAZONAS,1A1cii - Otras industrias de la energía,,0,0.0,0.0,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,0,Energía
1.0,c,ii,AMAZONAS,Extracción y procesamiento de petróleo y gas natural,,0,0.0,0.0,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,0,Energía
1.0,c,ii,AMAZONAS,Producción de carbón,,0,0.0,0.0,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,0,Energía
1.0,,,AMAZONAS,1A2 - Industrias manufactureras y de la construcción,,0.1409197852,5.6494e-06,1.1262e-06,,,,,,,,,,,,,,,,0.1409197852,0.000158183,0.0002984373,,,,,,,,,,,,,,,,0.1413764055,0.1413764055,Energía
1.0,a,,AMAZONAS,1A2a - Hierro y acero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,b,,AMAZONAS,1A2b - Metales no ferrosos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,c,,AMAZONAS,1A2c - Productos químicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,d,,AMAZONAS,"1A2d - Pulpa, papel e imprenta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,e,,AMAZONAS,"1A2e - Procesamiento de alimentos, bebidas y tabaco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,f,,AMAZONAS,1A2f - Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,g,,AMAZONAS,1A2g - Equipo de transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,h,,AMAZONAS,1A2h - Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,i,,AMAZONAS,1A2i - Minería (con excepción de combustibles) y cantería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,j,,AMAZONAS,1A2j - Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,k,,AMAZONAS,1A2k - Construcción,,0.1409197852,5.6494e-06,1.1262e-06,,,,,,,,,,,,,,,,0.1409197852,0.000158183,0.0002984373,,,,,,,,,,,,,,,,0.1413764055,0.1413764055,Energía
1.0,l,,AMAZONAS,1A2l - Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,m,,AMAZONAS,1A2m - Industria no especificada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,,,AMAZONAS,1A3 - Transporte,,74.5364844,0.0045919156,0.0017621224,,,,,,,,,,,,,,,,74.5364844,0.1285736364,0.4669624343,,,,,,,,,,,,,,,,75.13202047,75.13202047,Energía
1.0,a,,AMAZONAS,1A3a - Aviación civil,,59.93032842,0.002283601,0.0005503593,,,,,,,,,,,,,,,,59.93032842,0.0639408294,0.1458452212,,,,,,,,,,,,,,,,60.14011447,60.14011447,Energía
1.0,a,ii,AMAZONAS,1A3aii - Aviación de cabotaje,,59.93032842,0.002283601,0.0005503593,,,,,,,,,,,,,,,,59.93032842,0.0639408294,0.1458452212,,,,,,,,,,,,,,,,60.14011447,60.14011447,Energía
1.0,a,ii,AMAZONAS,1A3aii1 - Aviación de cabotaje Crucero,,55.37672842,0.001868421,0.0003865893,,,,,,,,,,,,,,,,55.37672842,0.0523157894,0.1024461712,,,,,,,,,,,,,,,,55.53149038,55.53149038,Energía
1.0,a,ii,AMAZONAS,1A3aii2 - Aviación de cabotaje LTO,,4.5536,0.00041518,0.00016377,,,,,,,,,,,,,,,,4.5536,0.01162504,0.04339905,,,,,,,,,,,,,,,,4.60862409,4.60862409,Energía
1.0,b,,AMAZONAS,1A3b - Transporte terrestre,,12.79563938,0.0021882617,0.0006544194,,,,,,,,,,,,,,,,12.79563938,0.0612713274,0.173421152,,,,,,,,,,,,,,,,13.03033186,13.03033186,Energía
1.0,b,i,AMAZONAS,1A3bi - Automóviles,,0.6460442251,0.0003385653,5.14837e-05,,,,,,,,,,,,,,,,0.6460442251,0.0094798285,0.0136431679,,,,,,,,,,,,,,,,0.6691672216,0.6691672216,Energía
1.0,b,i,AMAZONAS,"1A3bi3 - Automóviles particulares, diplomáticos y oficiales",,0.1359726846,6.60942e-05,1.09693e-05,,,,,,,,,,,,,,,,0.1359726846,0.0018506364,0.0029068758,,,,,,,,,,,,,,,,0.1407301968,0.1407301968,Energía
1.0,b,i,AMAZONAS,1A3bi4 - Automoviles servicio publico,,0.4703018339,0.0002556594,3.75027e-05,,,,,,,,,,,,,,,,0.4703018339,0.0071584646,0.009938214,,,,,,,,,,,,,,,,0.4873985125,0.4873985125,Energía
1.0,b,i,AMAZONAS,1A3bi5 - Camperos,,0.0397697067,1.68117e-05,3.0116e-06,,,,,,,,,,,,,,,,0.0397697067,0.0004707276,0.0007980781,,,,,,,,,,,,,,,,0.0410385122,0.0410385122,Energía
1.0,b,ii,AMAZONAS,1A3bii - Camiones para servicio ligero,,0.1860331085,7.10097e-05,1.38382e-05,,,,,,,,,,,,,,,,0.1860331085,0.0019882712,0.0036671298,,,,,,,,,,,,,,,,0.1916885096,0.1916885096,Energía
1.0,b,ii,AMAZONAS,1A3bii3 - Camionetas,,0.1860331085,7.10097e-05,1.38382e-05,,,,,,,,,,,,,,,,0.1860331085,0.0019882712,0.0036671298,,,,,,,,,,,,,,,,0.1916885096,0.1916885096,Energía
1.0,b,iii,AMAZONAS,1A3biii - Camiones para servicio pesado y autobuses,,0.7277553292,5.07149e-05,4.25793e-05,,,,,,,,,,,,,,,,0.7277553292,0.0014200178,0.0112835265,,,,,,,,,,,,,,,,0.7404588735,0.7404588735,Energía
1.0,b,iii,AMAZONAS,1A3biii1 - Buses,,0.4735028194,2.89177e-05,2.74865e-05,,,,,,,,,,,,,,,,0.4735028194,0.000809696,0.0072839112,,,,,,,,,,,,,,,,0.4815964266,0.4815964266,Energía
1.0,b,iii,AMAZONAS,1A3biii2 - Camiones y volquetas,,0.2542525098,2.17972e-05,1.50929e-05,,,,,,,,,,,,,,,,0.2542525098,0.0006103217,0.0039996153,,,,,,,,,,,,,,,,0.2588624468,0.2588624468,Energía
1.0,b,iii,AMAZONAS,1A3biii3 - Tractocamiones,,0,0.0,0.0,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,0,Energía
1.0,b,iv,AMAZONAS,1A3biv - Motocicletas,,11.23580672,0.0017279718,0.0005465182,,,,,,,,,,,,,,,,11.23580672,0.0483832099,0.1448273278,,,,,,,,,,,,,,,,11.42901726,11.42901726,Energía
