"MOD","CAP","CAT","SUB","NROM","NUM","Departamento","Reportar","Nivel","Categorias","Rubro","Sector (Gráfica sectorial)","Sector (Colores histograma)","CO2abs","CO2","CH4","N2O","HFC-23","HFC-32","HFC-125","HFC-134a","HFC-143a","HFC-152a","HFC-227ea","HFC-236fa","HFC-245fa","HFC-365mfc","HFC-43-10mee","PFC-14","PFC-116","SF6","CO2abseq","CO2eq","CH4eq","N2Oeq","HFC-23eq","HFC-32eq","HFC-125eq","HFC-134aeq","HFC-143aeq","HFC-152aeq","HFC-227eaeq","HFC-236faeq","HFC-245faeq","HFC-365mfceq","HFC-43-10meeeq","PFC-14eq","PFC-116eq","SF6eq","Abosorciones_totales","Emisiones_Totales","Emisiones_Netas"
,"null",,"null","null",,"AMAZONAS","SI","SI","TOTAL DEPARTAMENTAL","null","null","null","-253.5800714","854.1816071","0.7143683781","0.1931974351","0.0000000019","0.0000648243","0.0001801057","0.000732399","0.0000996994","0","0.0000001211","0.0000000014","0.0000000845","0.0000013953","0","0.0000000011","0.0000000011","0","-253.5800714","854.1816071","20.00231459","51.19732031","0.0000240245","0.0438860325","0.5709350132","0.9521186811","0.4785570371","0","0.0004057391","0.0000112137","0.0000725103","0.0011218076","0","0.0000074503","0.0000119979","0","-253.5800714","927.4283935","673.8483221"
"1","null",,"null","null",,"AMAZONAS","SI","1SI","1 - Energía","null","null","null",,"132.5262273","0.1860477037","0.0045758037",,,,,,,,,,,,,,,,"132.5262273","5.209335704","1.212587986",,,,,,,,,,,,,,,,"138.948151","138.948151"
"1","A",,"null","null",,"AMAZONAS","SI","1ASI","1A - Actividades de quema de combustible","null","null","null",,"132.5262273","0.1860477037","0.0045758037",,,,,,,,,,,,,,,,"132.5262273","5.209335704","1.212587986",,,,,,,,,,,,,,,,"138.948151","138.948151"
"1","A","1","null","null",,"AMAZONAS","SI","1A1SI","1A1 - Industrias de la energía","null","null","null",,"51.39203829","0.0020769103","0.0004153821",,,,,,,,,,,,,,,,"51.39203829","0.0581534891","0.1100762472",,,,,,,,,,,,,,,,"51.56026802","51.56026802"
"1","A","1","a","null",,"AMAZONAS","SI","1A1aSI","1A1a - Producción de electricidad y calor como actividad principal","null","null","null",,"51.39203829","0.0020769103","0.0004153821",,,,,,,,,,,,,,,,"51.39203829","0.0581534891","0.1100762472",,,,,,,,,,,,,,,,"51.56026802","51.56026802"
"1","A","1","a","i",,"AMAZONAS","SI","1A1aiSI","1A1ai - Generación de electricidad","null","null","null",,"51.39203829","0.0020769103","0.0004153821",,,,,,,,,,,,,,,,"51.39203829","0.0581534891","0.1100762472",,,,,,,,,,,,,,,,"51.56026802","51.56026802"
"1","A","1","a","i","1","AMAZONAS","SI","1A1ai1SI","Sistema interconectado nacional","Uso de combustibles en centrales termoeléctricas","Minas y Energía","Minas y Energía",,"0","0","0",,,,,,,,,,,,,,,,"0","0","0",,,,,,,,,,,,,,,,"0","0"
"1","A","1","a","i","2","AMAZONAS","SI","1A1ai2SI","Zona no interconectada","Uso de combustibles en generación de energía ZNI","Minas y Energía","Minas y Energía",,"51.39203829","0.0020769103","0.0004153821",,,,,,,,,,,,,,,,"51.39203829","0.0581534891","0.1100762472",,,,,,,,,,,,,,,,"51.56026802","51.56026802"
"1","A","1","a","ii",,"AMAZONAS","SI","1A1aiiSI","1A1aii - Generación combinada de calor y energía (CHP)","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","A","1","a","iii",,"AMAZONAS","SI","1A1aiiiSI","1A1aiii - Plantas generadoras de energía (CHP)","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","A","1","b","null",,"AMAZONAS","SI","1A1bSI","1A1b - Refinación de petróleo","Combustión en refinerías","Minas y Energía","Minas y Energía",,"0","0","0",,,,,,,,,,,,,,,,"0","0","0",,,,,,,,,,,,,,,,"0","0"
"1","A","1","c","null",,"AMAZONAS","SI","1A1cSI","1A1c - Fabricación de combustibles sólidos y otras industrias energéticas","null","null","null",,"0","0","0",,,,,,,,,,,,,,,,"0","0","0",,,,,,,,,,,,,,,,"0","0"
"1","A","1","c","i",,"AMAZONAS","SI","1A1ciSI","1A1ci - Manufactura de combustibles sólidos","Quema de combustibles en producción de coque","Minas y Energía","Minas y Energía",,"0","0",,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,"0","0"
"1","A","1","c","ii",,"AMAZONAS","SI","1A1ciiSI","1A1cii - Otras industrias de la energía","null","null","null",,"0","0","0",,,,,,,,,,,,,,,,"0","0","0",,,,,,,,,,,,,,,,"0","0"
"1","A","1","c","ii","1","AMAZONAS","SI","1A1cii1SI","Extracción y procesamiento de petróleo y gas natural","Quema de combustibles en extracción y procesamiento de gas y petróleo","Minas y Energía","Minas y Energía",,"0","0","0",,,,,,,,,,,,,,,,"0","0","0",,,,,,,,,,,,,,,,"0","0"
"1","A","1","c","ii","3","AMAZONAS","SI","1A1cii3SI","Producción de carbón","Quema de combustibles en producción de carbón","Minas y Energía","Minas y Energía",,"0","0","0",,,,,,,,,,,,,,,,"0","0","0",,,,,,,,,,,,,,,,"0","0"
"1","A","2","null","null",,"AMAZONAS","SI","1A2SI","1A2 - Industrias manufactureras y de la construcción","null","null","null",,"0.1409197852","0.0000056494","0.0000011262",,,,,,,,,,,,,,,,"0.1409197852","0.000158183","0.0002984373",,,,,,,,,,,,,,,,"0.1413764055","0.1413764055"
"1","A","2","a","null",,"AMAZONAS","SI","1A2aSI","1A2a - Hierro y acero","Quema de combustibles en las industrias manufactureras","Industria","Industria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","A","2","b","null",,"AMAZONAS","SI","1A2bSI","1A2b - Metales no ferrosos","Quema de combustibles en las industrias manufactureras","Industria","Industria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","A","2","c","null",,"AMAZONAS","SI","1A2cSI","1A2c - Productos químicos","Quema de combustibles en las industrias manufactureras","Industria","Industria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","A","2","d","null",,"AMAZONAS","SI","1A2dSI","1A2d - Pulpa, papel e imprenta","Quema de combustibles en las industrias manufactureras","Industria","Industria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","A","2","e","null",,"AMAZONAS","SI","1A2eSI","1A2e - Procesamiento de alimentos, bebidas y tabaco","Quema de combustibles en las industrias manufactureras","Industria","Industria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","A","2","f","null",,"AMAZONAS","SI","1A2fSI","1A2f - Minerales no metálicos","Quema de combustibles en las industrias manufactureras","Industria","Industria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
